name,Abstract,Introduction,Background,Related_Work,Methods,Results,Discussion,Conclusion
Computational Complexity,1.2247056582452496,0.7196696567890509,0.9734306483708612,1.0109919261452782,1.1015050139004534,0.7537639420458575,1.070223676147633,1.1963846871671546
Logic in Computer Science,1.0220135687722938,0.688395353072081,0.8780145045283047,0.8049335242438634,1.111070889033236,1.0118369634342732,0.833498011407561,0.968606882940966
Information Theory,1.0375203471809875,0.682538295846045,1.0080564901861153,0.9858036827876658,1.5862355396842427,0.8521270588751739,0.8749710534784205,0.965668522015745
Artificial Intelligence,1.0907073579217061,0.7878530413193984,1.123447896698957,0.7708204049084835,0.9931001710620755,0.7618752846968901,0.8630622557739008,1.0648008832399225
Computation and Language,0.8268879584435737,0.6104905360845122,0.9218950178243279,0.6044944600884951,0.7330258683026347,0.5752677370141701,0.7085787695018464,0.8228190866246361
Computational Geometry,1.1345480824176448,0.6440482267144376,0.8597779855900562,0.8757262499612078,0.8709725312007104,0.9748538134584593,1.0244574403117694,1.167458340881043
Machine Learning,1.0160605539245569,0.7025043621209586,1.1524476288873142,0.7566110944661384,1.1973310195853448,0.8207732324541128,0.8614618084286694,1.0287173770433111
Data Structures and Algorithms,1.2437671579761373,0.7188213953234817,1.0481479702194658,0.9941281719463985,1.0960972110771776,0.990963854068395,1.1158506277836984,1.28693281905545
Sound,0.8633114674613922,0.6285713483820505,1.0064678968651348,0.7158486413518119,0.759682951313369,0.608757980533254,0.7819055231229936,0.9236833618845852
Networking and Internet Architecture,0.9946993117705519,0.6998486111151866,0.9224378876637777,0.7967800846899078,1.2812852455520611,0.7652728205152618,0.7897939394624246,0.9834038143713936
"Distributed, Parallel, and Cluster Computing",1.1407853879776115,0.7715135587249322,1.0211701327087293,0.8146942856801416,1.0810346165354834,0.858011336672815,0.9141526484878808,1.09778641094743
Computer Science and Game Theory,1.0930445519065735,0.7446347439805425,1.0251966301842237,0.9857426786262329,1.278926947387469,0.8023476450795307,0.8587662185411098,1.046363394457544
Performance,1.0770014611258454,0.732579160987,0.9115759480389866,0.8074758635837109,1.2125454918753498,0.7782532024313674,0.8173647728927764,1.0281871350990504
Programming Languages,1.0000784835518002,0.6998282711772894,0.8545129919080502,0.7681100527717497,0.9627840705516082,0.9373968199500099,0.7896753804287742,0.9762089859676297
Cryptography and Security,1.048227913975857,0.7558854785132476,0.9810235373264563,0.7907740100643731,1.062896655861888,0.814836001778383,0.7991844309285422,1.0222202732423114
"Computational Engineering, Finance, and Science",1.0418846021614714,0.6742752518707049,0.9670109360316655,0.9343073222061123,0.8484486300666734,0.6918885813420207,0.6908634655596937,0.9495261353417721
Neural and Evolutionary Computation,0.9976232933534044,0.7406380832935863,1.0231792995751277,0.7390757144368828,0.8850510278580034,0.7208178418799573,0.7982836705528963,0.987301463717237
Mathematical Software,1.1804691284550837,0.8301631936267911,1.0576346734167579,0.9293546403440731,0.9331170484533855,0.952641321409222,0.9657936246236339,1.1564973695239191
Discrete Mathematics,1.1767121719391644,0.70592700397926,0.9304917788092336,1.0585744324043733,0.9568451921160205,0.7802060036702597,1.1029431837289798,1.1748152912190526
Computer Vision and Pattern Recognition,0.7899965927870667,0.5724155192770698,1.1058812358272005,0.5671362583526435,0.7559022130045011,0.6083331130134018,0.7479601063018014,0.8662342474898371
Software Engineering,1.0734762184254731,0.7592799192941124,0.9238958816476994,0.7863973891531486,0.7542793164200415,0.6709962803668095,0.6400325579373561,0.9913117907900157
Numerical Analysis,1.0842173635819157,0.6756941794352582,1.0588329537637475,0.936889543707044,1.3331502131918858,0.8812422370217569,0.8855843598456289,1.0210189379040586
Digital Libraries,0.8736832328752503,0.647685157449411,0.843917575396453,0.7343443619687302,0.6674881218997398,0.5426661849599795,0.5407627203372394,0.828335971400478
Symbolic Computation,1.1292688867386504,0.6961127708541857,0.8633345860405232,0.9398872589523495,0.9117433006654507,1.0646771669126147,0.9171226475535316,1.0917062434321618
Graphics,1.0614076346531074,0.7672897845865972,1.1972638123682144,0.6674361459226408,0.8375971168563915,0.7825335976594852,0.8059178035304383,1.0710217800846384
Databases,1.299206559983662,0.8129243670137312,1.068819779806942,0.9594472337480889,1.152391503875123,0.8370247351017861,0.8661051206980643,1.2389570156683052
Multiagent Systems,1.1947319254629107,0.8599538744905538,1.2111200957223993,0.9584306105919504,1.1730942635563455,0.9105911568497267,0.8397911111845285,1.1634852005145155
Operating Systems,0.901954551981293,0.6173289929343432,0.6190932774179835,0.5974854606217277,0.7110666076612523,0.5006314481132378,0.6523969383106728,0.8573355456444375
Information Retrieval,1.009715780433839,0.7153902532131808,1.1014135388667792,0.6929998313378716,0.7897678281022208,0.6826834206012597,0.7589558582936621,0.9090843707673584
Hardware Architecture,0.9182947450659873,0.6735436387799674,0.9816551559178793,0.6886792192702784,0.8002537719787964,0.7061012848417312,0.629758408024838,0.9238506691558356
Robotics,0.9574095738054433,0.7170931398126966,1.157615673091403,0.6763514477494396,0.7874972247863314,0.7074652557752096,0.7794791021283212,0.9601188333995417
Computers and Society,0.8475539758158067,0.6345203418798925,0.7328292120276512,0.6224756474790015,0.8046694341647868,0.5971649263068833,0.5607162251363694,0.7780967529506809
Human-Computer Interaction,0.9303770818635604,0.7184363214192997,0.8362017379047351,0.710689571868352,0.7661806594536048,0.7345023632932675,0.6526093885968202,0.9100788898068823
Multimedia,0.9305524697685549,0.7050937861506464,1.0065667007517614,0.6707062107130293,0.8845040180428934,0.7156562173818001,0.8111160959905552,0.9582501539612073
Social and Information Networks,0.9031199832150177,0.658453942387392,1.1100180749567052,0.7235596606192612,0.9894538319034533,0.6148814472120583,0.6016775721882783,0.8568920284272836
Systems and Control,1.178603412226031,0.7881100809501229,1.1816219417609526,0.8510607621675966,1.4969492105353341,0.9325068045583649,0.8873651744582003,1.1421535731424728
Emerging Technologies,1.0227629487962424,0.7525461156513755,1.0416772874397593,0.8106013518839673,0.8667528340107454,0.7341897461122318,0.6394519305664593,1.0111944017983894
Formal Languages and Automata Theory,1.1612252717627916,0.8024891141855501,0.9095100489163626,0.7617499158553683,1.0874418572934068,0.8375947795707919,1.017210661685473,1.1647154106065236
